"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"28.02.2025","138,80","137,20","139,50","136,60","223,56K","-0,43%"
"27.02.2025","139,40","140,00","141,00","138,10","167,39K","0,22%"
"26.02.2025","139,10","136,10","139,40","135,60","187,58K","2,20%"
"25.02.2025","136,10","136,20","137,30","134,30","130,82K","-0,29%"
"24.02.2025","136,50","138,00","138,70","135,80","91,04K","-1,02%"
"21.02.2025","137,90","135,20","138,30","135,20","244,83K","2,07%"
"20.02.2025","135,10","135,20","137,00","134,20","112,81K","0,07%"
"19.02.2025","135,00","137,90","138,50","134,60","136,52K","-1,96%"
"18.02.2025","137,70","130,10","137,90","129,80","205,54K","5,11%"
"17.02.2025","131,00","129,20","131,20","129,20","81,68K","1,39%"
"14.02.2025","129,20","131,20","131,90","127,80","123,18K","-1,52%"
"13.02.2025","131,20","131,00","133,50","130,00","333,77K","0,92%"
"12.02.2025","130,00","125,90","131,20","125,00","332,67K","3,67%"
"11.02.2025","125,40","123,30","125,40","122,60","115,42K","2,03%"
"10.02.2025","122,90","119,60","123,60","118,60","131,81K","2,93%"
"07.02.2025","119,40","121,30","122,30","119,30","280,69K","-1,57%"
"06.02.2025","121,30","121,70","122,20","119,70","195,36K","0,25%"
"05.02.2025","121,00","119,00","121,00","117,60","483,18K","2,11%"
"04.02.2025","118,50","115,80","118,90","115,70","383,03K","2,51%"
"03.02.2025","115,60","116,00","118,20","114,10","345,98K","-2,28%"
"31.01.2025","118,30","107,90","119,70","101,60","639,31K","10,15%"
"30.01.2025","107,40","106,00","108,10","106,00","56,91K","1,03%"
"29.01.2025","106,30","106,70","107,90","105,70","35,31K","-0,09%"
"28.01.2025","106,40","104,60","106,40","104,00","107,91K","1,82%"
"27.01.2025","104,50","103,00","105,60","102,10","94,34K","0,48%"
"24.01.2025","104,00","100,70","104,00","100,60","178,66K","3,28%"
"23.01.2025","100,70","98,80","100,70","98,60","90,59K","1,92%"
"22.01.2025","98,80","98,05","98,90","97,65","47,71K","1,33%"
"21.01.2025","97,50","96,65","98,00","96,05","80,08K","0,88%"
"20.01.2025","96,65","95,75","97,50","95,70","59,37K","0,99%"
"17.01.2025","95,70","97,25","97,25","95,30","27,00K","-0,88%"
"16.01.2025","96,55","95,45","97,25","95,30","92,66K","1,10%"
"15.01.2025","95,50","95,00","95,55","94,20","54,19K","1,60%"
"14.01.2025","94,00","93,80","94,60","93,40","30,63K","0,53%"
"13.01.2025","93,50","93,90","94,20","92,75","44,11K","-0,37%"
"10.01.2025","93,85","93,75","94,15","93,15","25,05K","-0,05%"
"09.01.2025","93,90","94,00","95,40","93,50","44,43K","-0,63%"
"08.01.2025","94,50","96,00","96,30","94,05","25,75K","-1,31%"
"07.01.2025","95,75","97,15","97,70","95,70","86,75K","-1,08%"
"03.01.2025","96,80","95,00","97,55","94,90","78,10K","1,89%"
"02.01.2025","95,00","96,90","97,75","94,40","89,29K","-1,25%"
"30.12.2024","96,20","96,30","96,95","95,35","73,52K","-0,10%"
"27.12.2024","96,30","94,45","96,35","93,75","81,22K","2,01%"
"23.12.2024","94,40","93,75","94,90","93,50","40,93K","0,69%"
"20.12.2024","93,75","93,50","94,95","93,15","137,53K","-0,21%"
"19.12.2024","93,95","92,95","93,95","91,35","106,46K","0,80%"
"18.12.2024","93,20","92,10","94,15","90,75","83,56K","1,19%"
"17.12.2024","92,10","93,05","93,95","91,05","95,83K","-0,81%"
"16.12.2024","92,85","92,35","94,50","91,85","214,27K","0,60%"
"13.12.2024","92,30","92,80","93,85","91,85","76,22K","-0,86%"
"12.12.2024","93,10","91,80","93,50","91,65","75,82K","1,36%"
"11.12.2024","91,85","92,60","93,35","91,50","48,52K","-0,76%"
"10.12.2024","92,55","95,35","95,35","92,55","66,64K","-2,06%"
"09.12.2024","94,50","94,50","95,10","93,60","60,64K","-0,21%"
"06.12.2024","94,70","94,50","95,45","93,95","85,41K","0,85%"
"05.12.2024","93,90","92,65","94,60","92,05","68,07K","0,11%"
"04.12.2024","93,80","91,95","94,15","91,95","314,33K","2,35%"
"03.12.2024","91,65","92,75","92,90","91,10","90,92K","-0,97%"
"02.12.2024","92,55","90,50","92,55","89,90","126,61K","1,98%"
"29.11.2024","90,75","90,35","90,75","88,70","87,43K","0,83%"
"28.11.2024","90,00","87,05","90,50","87,05","52,26K","4,53%"
"27.11.2024","86,10","86,95","86,95","85,65","92,37K","0,17%"
"26.11.2024","85,95","86,55","86,95","85,70","68,91K","-0,12%"
"25.11.2024","86,05","86,50","86,60","85,40","154,99K","-0,35%"
"22.11.2024","86,35","85,40","86,40","84,65","53,01K","0,76%"
"21.11.2024","85,70","86,25","86,25","84,45","36,35K","0,35%"
"20.11.2024","85,40","85,25","86,10","84,70","69,82K","0,23%"
"19.11.2024","85,20","86,00","86,50","83,95","54,54K","-0,93%"
"18.11.2024","86,00","86,75","87,55","85,85","43,24K","-0,86%"
"15.11.2024","86,75","87,75","87,75","86,05","39,81K","-1,14%"
"14.11.2024","87,75","88,15","88,15","86,75","45,46K","-0,17%"
"13.11.2024","87,90","88,05","88,50","87,15","40,88K","-0,17%"
"12.11.2024","88,05","89,40","89,65","87,65","63,57K","-1,18%"
"08.11.2024","89,10","88,10","89,35","87,40","58,14K","2,12%"
"07.11.2024","87,25","86,40","87,60","85,80","76,71K","1,22%"
"06.11.2024","86,20","89,90","90,05","86,05","72,27K","-3,69%"
"05.11.2024","89,50","90,00","90,95","89,50","88,95K","-0,67%"
"04.11.2024","90,10","89,95","91,20","89,55","64,20K","0,00%"
"31.10.2024","90,10","90,00","90,25","88,30","138,49K","1,01%"
"30.10.2024","89,20","90,10","90,45","88,85","43,11K","-0,61%"
"29.10.2024","89,75","89,65","90,80","89,35","70,61K","0,28%"
"28.10.2024","89,50","90,00","90,95","89,50","67,75K","-0,17%"
"25.10.2024","89,65","91,65","91,85","89,50","88,64K","-2,02%"
"24.10.2024","91,50","91,60","93,00","91,10","43,71K","-0,16%"
"23.10.2024","91,65","91,65","92,40","91,00","101,60K","0,00%"
"22.10.2024","91,65","89,95","91,75","88,90","63,47K","2,46%"
"21.10.2024","89,45","90,80","91,20","89,25","62,66K","-0,61%"
