"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"27.02.2025","218,00","223,00","223,60","215,50","241,22K","-2,20%"
"26.02.2025","222,90","220,20","222,90","219,10","191,05K","1,00%"
"25.02.2025","220,70","221,70","223,70","218,30","231,35K","-0,45%"
"24.02.2025","221,70","227,60","227,90","220,10","212,58K","-2,85%"
"21.02.2025","228,20","226,90","231,70","225,80","186,13K","1,06%"
"20.02.2025","225,80","229,20","230,40","224,50","203,36K","-1,10%"
"19.02.2025","228,30","229,30","238,80","225,80","396,85K","-0,31%"
"18.02.2025","229,00","230,00","231,20","227,80","179,74K","-0,43%"
"17.02.2025","230,00","226,80","231,40","225,00","123,81K","1,41%"
"14.02.2025","226,80","227,70","229,90","223,80","238,42K","-0,04%"
"13.02.2025","226,90","230,70","231,90","223,50","260,36K","-1,05%"
"12.02.2025","229,30","224,30","235,90","223,80","608,53K","2,23%"
"11.02.2025","224,30","219,20","224,30","218,10","250,02K","2,42%"
"10.02.2025","219,00","217,00","219,60","216,10","174,20K","1,11%"
"07.02.2025","216,60","219,50","219,90","215,80","212,53K","-1,10%"
"06.02.2025","219,00","222,00","224,10","215,20","358,57K","-1,17%"
"05.02.2025","221,60","215,20","221,80","214,30","557,30K","3,17%"
"04.02.2025","214,80","209,40","215,20","208,80","276,32K","2,87%"
"03.02.2025","208,80","205,00","210,60","205,00","301,44K","-1,09%"
"31.01.2025","211,10","211,80","212,30","208,40","204,21K","0,05%"
"30.01.2025","211,00","204,50","211,00","204,30","185,76K","3,18%"
"29.01.2025","204,50","203,10","208,20","203,10","140,81K","0,74%"
"28.01.2025","203,00","205,50","207,30","201,30","150,35K","-0,98%"
"27.01.2025","205,00","205,00","206,60","201,80","347,21K","-1,01%"
"24.01.2025","207,10","208,00","213,60","205,30","264,53K","-2,63%"
"23.01.2025","212,70","210,00","214,10","208,40","250,60K","0,42%"
"22.01.2025","211,80","222,80","223,90","209,20","547,56K","-4,94%"
"21.01.2025","222,80","216,70","222,80","214,00","381,69K","2,81%"
"20.01.2025","216,70","218,50","221,50","216,10","356,52K","-0,82%"
"17.01.2025","218,50","206,90","220,20","204,40","813,95K","5,50%"
"16.01.2025","207,10","195,55","209,00","194,35","776,18K","6,45%"
"15.01.2025","194,55","192,00","194,55","189,60","208,41K","1,33%"
"14.01.2025","192,00","190,10","192,85","189,00","273,17K","1,05%"
"13.01.2025","190,00","190,00","191,00","187,20","206,27K","-1,12%"
"10.01.2025","192,15","189,40","192,55","187,00","249,05K","1,56%"
"09.01.2025","189,20","184,65","189,20","184,50","178,72K","2,55%"
"08.01.2025","184,50","193,30","193,65","183,20","460,02K","-4,55%"
"07.01.2025","193,30","196,30","200,40","193,10","394,13K","-1,43%"
"03.01.2025","196,10","193,50","198,75","193,00","291,97K","1,34%"
"02.01.2025","193,50","192,00","197,30","190,25","332,30K","1,07%"
"30.12.2024","191,45","190,55","194,10","188,75","196,23K","0,47%"
"27.12.2024","190,55","187,30","191,15","184,00","238,57K","1,74%"
"23.12.2024","187,30","187,30","189,35","186,15","169,89K","0,00%"
"20.12.2024","187,30","188,00","188,70","182,85","805,20K","-0,74%"
"19.12.2024","188,70","190,00","192,90","187,80","299,69K","-1,67%"
"18.12.2024","191,90","189,45","195,50","189,45","500,53K","1,29%"
"17.12.2024","189,45","189,00","192,90","186,70","353,14K","0,08%"
"16.12.2024","189,30","184,50","190,00","184,05","250,39K","3,10%"
"13.12.2024","183,60","200,00","202,00","178,25","1,09M","-3,87%"
"12.12.2024","191,00","195,65","196,60","183,55","624,00K","-2,35%"
"11.12.2024","195,60","194,00","195,95","192,00","352,98K","0,82%"
"10.12.2024","194,00","194,10","196,70","188,10","451,48K","-0,15%"
"09.12.2024","194,30","199,85","202,00","191,10","545,51K","-2,78%"
"06.12.2024","199,85","193,00","200,00","191,80","853,41K","3,55%"
"05.12.2024","193,00","180,25","193,00","180,25","641,58K","7,28%"
"04.12.2024","179,90","179,45","183,30","177,30","599,69K","0,25%"
"03.12.2024","179,45","170,20","179,45","170,00","584,97K","5,43%"
"02.12.2024","170,20","168,75","170,50","167,45","197,78K","1,79%"
"29.11.2024","167,20","164,80","168,45","164,70","263,15K","1,46%"
"28.11.2024","164,80","165,95","168,40","163,55","244,59K","0,12%"
"27.11.2024","164,60","172,20","173,00","158,00","801,47K","-4,41%"
"26.11.2024","172,20","166,25","172,35","165,00","404,81K","4,02%"
"25.11.2024","165,55","161,40","166,15","161,40","605,19K","2,92%"
"22.11.2024","160,85","160,75","161,85","157,00","327,12K","0,53%"
"21.11.2024","160,00","159,15","160,80","157,05","260,38K","1,27%"
"20.11.2024","158,00","153,10","159,15","153,00","254,54K","2,86%"
"19.11.2024","153,60","157,25","157,65","150,30","243,57K","-1,70%"
"18.11.2024","156,25","155,70","159,25","155,20","184,64K","0,26%"
"15.11.2024","155,85","161,90","162,00","155,85","248,28K","-3,71%"
"14.11.2024","161,85","158,75","161,85","158,20","193,78K","2,11%"
"13.11.2024","158,50","161,40","161,40","156,70","298,74K","-1,80%"
"12.11.2024","161,40","161,00","162,30","159,55","173,54K","0,25%"
"08.11.2024","161,00","163,00","164,60","160,50","197,93K","-1,23%"
"07.11.2024","163,00","160,00","163,00","159,90","180,62K","2,10%"
"06.11.2024","159,65","160,70","161,95","158,85","229,35K","-1,11%"
"05.11.2024","161,45","161,80","163,20","159,30","202,23K","0,53%"
"04.11.2024","160,60","161,00","161,80","157,60","331,13K","-0,09%"
"31.10.2024","160,75","159,00","161,20","156,55","314,54K","-0,12%"
"30.10.2024","160,95","162,80","163,65","159,35","197,30K","-1,14%"
"29.10.2024","162,80","160,50","162,80","159,70","199,78K","1,12%"
"28.10.2024","161,00","159,10","161,40","158,90","150,81K","1,45%"
"25.10.2024","158,70","159,35","160,00","157,45","199,29K","-0,38%"
"24.10.2024","159,30","159,90","161,00","158,05","201,92K","-1,12%"
"23.10.2024","161,10","158,65","161,10","158,05","255,00K","1,58%"
"22.10.2024","158,60","156,05","160,00","155,85","392,41K","1,41%"
"21.10.2024","156,40","160,45","161,35","155,30","237,58K","-2,52%"
"18.10.2024","160,45","157,60","160,60","152,00","332,89K","0,60%"
"17.10.2024","159,50","164,90","164,90","157,65","220,49K","-3,30%"
"16.10.2024","164,95","164,60","164,95","160,95","216,38K","-0,03%"
"15.10.2024","165,00","160,75","165,45","160,45","309,32K","2,64%"
"14.10.2024","160,75","162,15","164,00","159,60","283,86K","-0,25%"
"11.10.2024","161,15","168,55","169,70","156,75","803,22K","-4,39%"
"10.10.2024","168,55","171,10","172,15","168,00","245,71K","-1,78%"
"09.10.2024","171,60","170,30","173,35","168,90","268,50K","0,44%"
"08.10.2024","170,85","167,50","170,85","167,20","250,90K","1,24%"
"07.10.2024","168,75","171,80","173,35","167,95","184,46K","-1,03%"
"04.10.2024","170,50","168,00","172,00","168,00","402,93K","1,61%"
"03.10.2024","167,80","167,75","171,85","164,50","268,26K","-1,12%"
