"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"27.02.2025","434,00","442,00","442,60","430,80","20,91K","-1,94%"
"26.02.2025","442,60","435,00","442,80","435,00","39,27K","1,89%"
"25.02.2025","434,40","428,00","435,00","426,60","34,14K","1,83%"
"24.02.2025","426,60","433,80","433,80","425,20","26,88K","-1,25%"
"21.02.2025","432,00","430,00","434,80","428,40","18,15K","1,08%"
"20.02.2025","427,40","431,40","433,00","425,00","28,85K","-0,93%"
"19.02.2025","431,40","440,00","441,20","425,20","57,66K","-2,22%"
"18.02.2025","441,20","455,80","463,00","422,80","68,21K","-2,78%"
"17.02.2025","453,80","446,60","455,80","444,20","19,82K","1,61%"
"14.02.2025","446,60","451,40","451,40","443,20","20,15K","-0,80%"
"13.02.2025","450,20","453,20","456,00","442,60","19,34K","0,58%"
"12.02.2025","447,60","450,20","453,80","442,40","14,41K","-0,27%"
"11.02.2025","448,80","443,80","450,00","441,00","21,25K","1,36%"
"10.02.2025","442,80","437,00","443,80","432,80","22,78K","1,14%"
"07.02.2025","437,80","435,60","439,80","433,60","23,49K","0,51%"
"06.02.2025","435,60","428,00","435,60","425,00","33,23K","2,69%"
"05.02.2025","424,20","425,60","427,60","422,40","16,00K","-0,14%"
"04.02.2025","424,80","425,00","425,60","420,40","10,78K","0,71%"
"03.02.2025","421,80","426,40","427,00","419,00","25,13K","-1,59%"
"31.01.2025","428,60","433,40","433,40","427,60","12,34K","-1,11%"
"30.01.2025","433,40","427,80","433,80","425,00","40,22K","2,46%"
"29.01.2025","423,00","432,00","433,00","422,00","23,41K","-1,54%"
"28.01.2025","429,60","428,60","432,60","426,80","18,43K","0,75%"
"27.01.2025","426,40","428,20","429,60","418,20","28,93K","-0,79%"
"24.01.2025","429,80","432,00","434,60","429,80","14,35K","0,47%"
"23.01.2025","427,80","433,40","433,60","427,00","16,56K","-1,02%"
"22.01.2025","432,20","426,00","432,20","422,20","35,58K","1,69%"
"21.01.2025","425,00","427,80","429,00","420,60","16,37K","-0,56%"
"20.01.2025","427,40","426,00","429,20","420,20","21,62K","1,57%"
"17.01.2025","420,80","436,20","438,20","417,20","63,28K","-2,41%"
"16.01.2025","431,20","438,80","439,60","429,20","21,41K","-1,55%"
"15.01.2025","438,00","429,40","438,00","428,60","26,24K","2,58%"
"14.01.2025","427,00","422,80","429,40","420,40","18,35K","1,96%"
"13.01.2025","418,80","426,20","426,80","417,20","21,82K","-1,87%"
"10.01.2025","426,80","416,00","427,00","416,00","48,89K","1,81%"
"09.01.2025","419,20","416,20","420,00","412,20","21,51K","1,21%"
"08.01.2025","414,20","426,20","426,40","408,80","32,45K","-1,24%"
"07.01.2025","419,40","425,00","427,20","418,00","23,60K","-0,19%"
"03.01.2025","420,20","422,60","425,00","418,60","17,20K","0,43%"
"02.01.2025","418,40","424,00","424,00","414,80","27,59K","0,63%"
"30.12.2024","415,80","420,00","421,40","413,00","13,57K","-0,24%"
"27.12.2024","416,80","418,00","422,60","413,20","22,42K","0,29%"
"23.12.2024","415,60","422,00","427,40","413,40","22,97K","-0,91%"
"20.12.2024","419,40","421,00","423,60","411,00","57,81K","0,14%"
