"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"27.02.2025","173,25","174,55","177,70","172,15","1,05M","-0,74%"
"26.02.2025","174,55","173,00","174,90","171,85","932,21K","1,84%"
"25.02.2025","171,40","168,40","173,05","168,15","1,39M","1,69%"
"24.02.2025","168,55","175,15","175,45","167,80","1,23M","-3,74%"
"21.02.2025","175,10","176,50","178,05","175,00","666,29K","-1,05%"
"20.02.2025","176,95","176,50","178,90","174,35","963,05K","-0,81%"
"19.02.2025","178,40","182,20","182,90","177,25","1,30M","-2,09%"
"18.02.2025","182,20","174,10","183,40","173,00","1,67M","5,32%"
"17.02.2025","173,00","171,40","173,75","170,70","618,81K","0,38%"
"14.02.2025","172,35","175,65","176,40","171,30","739,45K","-1,79%"
"13.02.2025","175,50","175,50","178,70","173,85","909,61K","0,34%"
"12.02.2025","174,90","169,00","175,00","168,60","2,44M","4,11%"
"11.02.2025","168,00","164,70","168,70","164,05","853,53K","2,16%"
"10.02.2025","164,45","164,40","165,05","163,20","454,85K","0,06%"
"07.02.2025","164,35","161,90","165,60","161,75","667,41K","1,67%"
"06.02.2025","161,65","157,00","162,05","157,00","1,10M","3,62%"
"05.02.2025","156,00","158,90","159,50","154,30","767,54K","-1,52%"
"04.02.2025","158,40","158,45","158,85","155,75","499,58K","0,54%"
"03.02.2025","157,55","155,60","158,35","154,55","528,36K","-1,75%"
"31.01.2025","160,35","161,25","161,90","159,45","1,24M","-0,56%"
"30.01.2025","161,25","159,00","161,75","159,00","602,45K","1,61%"
"29.01.2025","158,70","158,50","160,25","158,40","417,67K","0,13%"
"28.01.2025","158,50","156,00","158,80","155,75","689,07K","1,54%"
"27.01.2025","156,10","153,55","156,10","151,25","589,53K","1,13%"
"24.01.2025","154,35","152,85","155,00","152,55","495,40K","1,25%"
"23.01.2025","152,45","153,10","153,15","151,90","453,78K","-0,39%"
"22.01.2025","153,05","149,70","153,80","149,70","647,24K","2,31%"
"21.01.2025","149,60","147,35","149,70","146,50","460,14K","1,60%"
"20.01.2025","147,25","145,90","147,95","145,15","166,61K","0,93%"
"17.01.2025","145,90","145,75","147,50","145,25","414,58K","0,83%"
"16.01.2025","144,70","149,00","149,00","144,55","649,33K","-2,69%"
"15.01.2025","148,70","146,00","148,90","145,30","795,86K","1,85%"
"14.01.2025","146,00","144,55","146,50","144,20","769,53K","1,74%"
"13.01.2025","143,50","146,30","146,30","143,10","796,33K","-2,05%"
"10.01.2025","146,50","144,40","147,20","144,10","608,12K","1,70%"
"09.01.2025","144,05","141,75","144,35","140,55","469,35K","1,55%"
"08.01.2025","141,85","143,50","144,90","140,45","598,34K","-1,39%"
"07.01.2025","143,85","141,80","144,35","141,25","663,55K","2,46%"
"03.01.2025","140,40","138,90","141,80","138,20","456,06K","0,93%"
"02.01.2025","139,10","137,95","139,55","135,55","498,97K","0,87%"
"30.12.2024","137,90","140,00","140,00","136,60","266,64K","-0,61%"
"27.12.2024","138,75","139,80","139,95","137,15","254,07K","-0,64%"
"23.12.2024","139,65","139,20","141,10","138,95","346,51K","0,68%"
"20.12.2024","138,70","141,00","141,00","137,15","1,78M","-1,87%"
"19.12.2024","141,35","139,80","142,10","138,80","616,51K","-0,63%"
"18.12.2024","142,25","139,00","142,80","138,30","866,01K","2,08%"
"17.12.2024","139,35","145,00","145,05","139,35","699,37K","-3,90%"
"16.12.2024","145,00","146,00","146,80","143,90","609,60K","-0,21%"
"13.12.2024","145,30","146,00","147,95","145,10","444,86K","-0,62%"
"12.12.2024","146,20","144,95","146,55","144,60","411,76K","0,41%"
"11.12.2024","145,60","145,80","146,15","144,45","446,84K","-0,99%"
"10.12.2024","147,05","145,70","147,45","144,50","447,14K","0,07%"
"09.12.2024","146,95","149,00","149,30","146,40","464,92K","-1,18%"
"06.12.2024","148,70","148,75","150,20","147,95","571,61K","0,24%"
"05.12.2024","148,35","147,05","149,25","146,40","742,13K","1,71%"
"04.12.2024","145,85","144,25","147,60","143,00","542,46K","1,78%"
"03.12.2024","143,30","142,90","144,25","141,05","1,02M","0,28%"
"02.12.2024","142,90","137,00","142,95","136,35","1,41M","5,34%"
"29.11.2024","135,65","141,00","141,00","133,80","2,51M","-3,49%"
"28.11.2024","140,55","140,05","142,00","139,60","561,29K","1,08%"
"27.11.2024","139,05","140,00","140,15","136,95","459,87K","-0,61%"
"26.11.2024","139,90","140,55","141,30","138,50","451,23K","-0,60%"
"25.11.2024","140,75","141,00","141,65","139,60","1,04M","1,00%"
"22.11.2024","139,35","139,75","140,65","136,25","590,60K","0,14%"
"21.11.2024","139,15","137,20","139,55","135,40","506,30K","1,68%"
"20.11.2024","136,85","137,00","138,50","135,60","647,89K","0,51%"
"19.11.2024","136,15","139,45","140,65","131,15","1,84M","-2,40%"
"18.11.2024","139,50","142,00","144,10","138,15","889,51K","-2,62%"
"15.11.2024","143,25","148,20","148,25","143,25","950,89K","-2,95%"
"14.11.2024","147,60","151,10","152,05","145,45","3,22M","-2,12%"
"13.11.2024","150,80","154,00","154,00","150,00","676,02K","-1,82%"
"12.11.2024","153,60","155,10","157,70","153,20","871,06K","-0,97%"
"08.11.2024","155,10","156,50","156,80","152,80","1,12M","-0,32%"
"07.11.2024","155,60","148,00","155,60","146,20","3,87M","7,94%"
"06.11.2024","144,15","144,00","147,45","143,25","958,68K","0,45%"
"05.11.2024","143,50","143,10","143,85","141,90","534,18K","-0,62%"
"04.11.2024","144,40","141,85","144,40","141,40","832,27K","3,00%"
"31.10.2024","140,20","142,00","142,50","140,20","1,03M","-2,30%"
"30.10.2024","143,50","147,00","147,10","143,25","452,74K","-3,17%"
"29.10.2024","148,20","143,45","148,20","143,45","941,75K","3,31%"
"28.10.2024","143,45","146,00","146,75","142,60","443,20K","-0,93%"
"25.10.2024","144,80","145,55","145,65","142,35","829,97K","-0,45%"
"24.10.2024","145,45","146,50","146,95","143,90","558,98K","-0,61%"
"23.10.2024","146,35","144,70","146,75","143,25","675,58K","1,88%"
"22.10.2024","143,65","146,30","146,60","142,65","1,05M","-1,24%"
"21.10.2024","145,45","149,50","149,50","144,95","563,78K","-2,58%"
"18.10.2024","149,30","146,20","150,95","146,20","363,21K","2,26%"
"17.10.2024","146,00","151,25","151,95","146,00","586,98K","-3,41%"
"16.10.2024","151,15","150,70","151,90","148,20","371,14K","0,30%"
"15.10.2024","150,70","152,00","152,50","150,15","466,99K","-0,46%"
"14.10.2024","151,40","150,95","152,20","149,95","345,86K","0,26%"
"11.10.2024","151,00","147,70","152,90","147,55","691,79K","1,99%"
"10.10.2024","148,05","149,50","150,70","147,65","597,93K","-0,97%"
"09.10.2024","149,50","144,05","149,90","142,35","785,41K","4,07%"
"08.10.2024","143,65","140,20","145,00","139,50","478,01K","1,38%"
"07.10.2024","141,70","143,60","144,00","140,15","352,78K","-0,28%"
"04.10.2024","142,10","141,50","143,00","139,95","752,16K","0,96%"
"03.10.2024","140,75","141,80","143,05","139,55","926,03K","-1,88%"
"02.10.2024","143,45","145,45","146,40","142,60","410,78K","-1,31%"
"01.10.2024","145,35","148,90","148,90","143,65","584,91K","-1,06%"
"30.09.2024","146,90","152,00","152,00","146,90","438,76K","-3,70%"
"27.09.2024","152,55","151,65","152,80","150,00","363,24K","0,20%"
"26.09.2024","152,25","152,00","154,35","151,00","774,24K","1,23%"
"25.09.2024","150,40","152,00","152,00","148,45","361,64K","-0,69%"
"24.09.2024","151,45","150,20","153,05","149,55","881,89K","1,99%"
"23.09.2024","148,50","148,90","149,65","147,00","584,58K","-0,34%"
