"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"28.02.2025","62,70","62,30","63,53","61,55","5,30M","-0,35%"
"27.02.2025","62,92","63,01","64,61","62,75","8,02M","1,83%"
"26.02.2025","61,79","61,00","61,90","61,00","4,35M","1,88%"
"25.02.2025","60,65","59,86","61,37","59,60","2,75M","1,25%"
"24.02.2025","59,90","60,34","60,50","59,57","2,57M","-0,78%"
"21.02.2025","60,37","60,10","60,67","59,80","1,85M","0,42%"
"20.02.2025","60,12","60,51","60,78","60,01","3,21M","-1,10%"
"19.02.2025","60,79","61,63","62,19","59,90","4,88M","-0,34%"
"18.02.2025","61,00","58,40","61,00","58,40","5,12M","4,74%"
"17.02.2025","58,24","57,59","58,57","57,44","1,92M","1,13%"
"14.02.2025","57,59","57,50","57,94","57,03","2,39M","0,35%"
"13.02.2025","57,39","57,00","57,50","56,40","2,64M","0,60%"
"12.02.2025","57,05","57,78","57,87","56,01","2,94M","-0,71%"
"11.02.2025","57,46","56,90","57,64","56,67","2,05M","1,41%"
"10.02.2025","56,66","56,20","57,20","56,20","2,63M","0,93%"
"07.02.2025","56,14","55,90","56,60","55,38","2,32M","0,86%"
"06.02.2025","55,66","55,05","55,86","54,89","2,11M","1,48%"
"05.02.2025","54,85","54,30","55,26","54,24","2,92M","1,16%"
"04.02.2025","54,22","53,25","54,22","52,70","2,12M","2,36%"
"03.02.2025","52,97","52,04","53,16","51,81","2,38M","-1,52%"
"31.01.2025","53,79","53,49","53,88","53,14","2,05M","0,69%"
"30.01.2025","53,42","52,35","53,42","52,35","1,63M","2,14%"
"29.01.2025","52,30","52,70","52,90","52,00","1,51M","-0,17%"
"28.01.2025","52,39","52,46","52,80","52,20","1,86M","0,17%"
"27.01.2025","52,30","52,38","52,40","51,35","2,92M","-0,76%"
"24.01.2025","52,70","53,00","53,17","52,55","1,77M","-0,57%"
"23.01.2025","53,00","53,08","53,08","52,06","2,33M","0,38%"
"22.01.2025","52,80","53,20","53,50","52,80","3,45M","-0,43%"
"21.01.2025","53,03","53,31","53,34","52,49","2,23M","0,04%"
"20.01.2025","53,01","52,92","53,33","52,72","2,78M","0,97%"
"17.01.2025","52,50","51,70","52,65","51,36","2,45M","1,94%"
"16.01.2025","51,50","51,99","52,02","51,15","1,72M","-0,17%"
"15.01.2025","51,59","50,63","51,70","50,51","2,28M","2,26%"
"14.01.2025","50,45","50,46","51,00","50,34","2,94M","0,48%"
"13.01.2025","50,21","50,38","50,74","49,78","2,72M","-0,10%"
"10.01.2025","50,26","49,85","51,05","49,78","3,51M","0,95%"
"09.01.2025","49,78","50,15","51,00","48,01","5,19M","-0,43%"
"08.01.2025","50,00","50,11","50,14","49,44","2,81M","0,11%"
"07.01.2025","49,94","50,00","50,25","49,40","3,28M","1,41%"
"03.01.2025","49,25","49,85","49,85","49,18","1,81M","-0,24%"
"02.01.2025","49,37","47,72","49,70","47,72","3,91M","4,60%"
"30.12.2024","47,20","47,00","47,28","46,65","2,08M","0,64%"
"27.12.2024","46,90","46,97","47,22","46,51","1,69M","0,84%"
