"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"28.02.2025","53,92","53,40","54,20","53,28","2,74M","0,07%"
"27.02.2025","53,88","54,18","54,80","53,80","2,37M","-1,10%"
"26.02.2025","54,48","54,12","54,56","53,96","1,92M","1,15%"
"25.02.2025","53,86","53,10","54,14","53,04","1,58M","1,13%"
"24.02.2025","53,26","54,14","54,14","53,10","871,81K","-1,63%"
"21.02.2025","54,14","54,12","54,76","54,06","2,84M","-0,37%"
"20.02.2025","54,34","54,10","55,00","53,82","3,05M","0,15%"
"19.02.2025","54,26","55,32","55,40","53,88","3,42M","-1,92%"
"18.02.2025","55,32","53,22","55,88","53,22","3,21M","3,98%"
"17.02.2025","53,20","52,30","53,50","52,02","1,27M","1,72%"
"14.02.2025","52,30","52,82","53,08","52,16","1,80M","-0,83%"
"13.02.2025","52,74","52,50","53,08","52,20","2,22M","0,69%"
"12.02.2025","52,38","51,68","52,38","51,54","2,04M","1,75%"
"11.02.2025","51,48","51,30","51,70","50,98","983,95K","0,66%"
"10.02.2025","51,14","51,00","51,46","50,74","1,14M","0,12%"
"07.02.2025","51,08","51,00","51,22","50,66","1,48M","0,16%"
"06.02.2025","51,00","49,72","51,24","49,72","2,10M","2,86%"
"05.02.2025","49,58","50,14","50,36","49,36","1,65M","-1,12%"
"04.02.2025","50,14","49,84","50,36","49,70","2,34M","0,93%"
"03.02.2025","49,68","49,00","49,83","49,00","1,50M","-0,64%"
"31.01.2025","50,00","50,36","50,66","49,79","1,77M","-0,71%"
"30.01.2025","50,36","49,60","50,36","49,60","1,21M","1,53%"
"29.01.2025","49,60","50,00","50,36","49,52","1,14M","-0,74%"
"28.01.2025","49,97","50,46","50,70","49,62","3,19M","-1,17%"
"27.01.2025","50,56","50,50","50,66","49,80","2,01M","0,12%"
"24.01.2025","50,50","50,34","50,86","50,12","2,27M","0,40%"
"23.01.2025","50,30","49,67","50,32","49,00","2,34M","0,60%"
"22.01.2025","50,00","49,41","50,42","49,27","2,10M","1,19%"
"21.01.2025","49,41","49,20","49,67","48,88","1,55M","0,43%"
"20.01.2025","49,20","49,22","49,35","48,93","1,01M","0,41%"
"17.01.2025","49,00","48,64","49,25","48,47","1,81M","0,95%"
"16.01.2025","48,54","48,70","48,72","48,38","1,31M","-0,02%"
"15.01.2025","48,55","47,51","48,60","47,14","1,34M","2,21%"
"14.01.2025","47,50","47,88","47,89","47,19","1,60M","-0,31%"
"13.01.2025","47,65","48,00","48,06","47,23","2,21M","-1,00%"
"10.01.2025","48,13","48,21","48,48","47,86","1,59M","-0,17%"
"09.01.2025","48,21","48,01","48,38","47,91","1,67M","0,44%"
"08.01.2025","48,00","48,33","48,45","47,52","3,56M","-0,27%"
"07.01.2025","48,13","47,60","48,35","46,73","3,47M","2,93%"
"03.01.2025","46,76","46,44","47,07","46,10","1,55M","0,69%"
"02.01.2025","46,44","45,98","46,68","45,88","1,28M","1,31%"
"30.12.2024","45,84","46,03","46,10","45,49","801,10K","-0,41%"
"27.12.2024","46,03","45,88","46,03","45,40","823,16K","0,66%"
"23.12.2024","45,73","46,19","46,31","45,31","892,50K","-0,80%"
"20.12.2024","46,10","46,96","46,99","45,59","3,69M","-1,83%"
"19.12.2024","46,96","45,26","46,96","45,26","3,27M","2,69%"
"18.12.2024","45,73","45,45","45,97","45,19","1,50M","0,62%"
"17.12.2024","45,45","46,28","46,66","45,45","2,34M","-1,81%"
"16.12.2024","46,29","46,50","46,76","46,05","2,11M","-0,45%"
"13.12.2024","46,50","46,41","46,62","46,06","1,84M","0,19%"
"12.12.2024","46,41","46,18","46,80","46,16","1,96M","0,32%"
"11.12.2024","46,26","46,30","46,61","45,84","1,46M","-0,39%"
"10.12.2024","46,44","45,53","46,60","45,53","2,39M","0,96%"
"09.12.2024","46,00","46,00","46,33","45,71","3,28M","0,00%"
"06.12.2024","46,00","46,30","46,30","45,83","2,00M","-0,24%"
"05.12.2024","46,11","46,00","46,37","45,75","2,72M","0,50%"
"04.12.2024","45,88","45,49","46,23","45,21","3,36M","1,24%"
"03.12.2024","45,32","45,60","45,83","45,01","5,33M","-0,53%"
"02.12.2024","45,56","45,00","46,21","44,59","4,42M","3,08%"
"29.11.2024","44,20","43,20","44,48","42,95","2,88M","3,17%"
"28.11.2024","42,84","43,40","43,74","42,51","987,41K","-0,83%"
"27.11.2024","43,20","42,81","43,34","42,63","3,11M","0,56%"
"26.11.2024","42,96","43,00","43,79","42,90","1,53M","-0,37%"
"25.11.2024","43,12","43,42","43,80","43,03","3,25M","-0,46%"
"22.11.2024","43,32","43,00","43,66","42,36","3,40M","1,50%"
"21.11.2024","42,68","40,14","42,72","40,14","3,49M","6,83%"
"20.11.2024","39,95","40,05","40,53","39,64","1,33M","-0,15%"
"19.11.2024","40,01","41,29","41,45","39,30","3,44M","-2,75%"
"18.11.2024","41,14","40,60","41,47","40,60","1,29M","0,54%"
"15.11.2024","40,92","41,60","41,60","40,69","1,23M","-1,56%"
"14.11.2024","41,57","41,00","41,57","40,97","1,69M","1,59%"
"13.11.2024","40,92","41,00","41,20","40,54","1,36M","0,12%"
"12.11.2024","40,87","41,10","41,33","40,71","2,28M","-0,68%"
"08.11.2024","41,15","41,71","41,80","40,77","1,18M","-1,34%"
"07.11.2024","41,71","40,70","42,04","40,64","1,49M","2,86%"
"06.11.2024","40,55","40,47","41,28","40,41","1,28M","0,30%"
"05.11.2024","40,43","40,55","40,71","40,03","1,09M","-0,12%"
"04.11.2024","40,48","40,38","40,63","39,59","1,45M","1,96%"
"31.10.2024","39,70","39,90","39,90","39,49","1,62M","-0,77%"
"30.10.2024","40,01","41,18","41,18","39,75","2,23M","-2,86%"
"29.10.2024","41,19","40,60","41,30","40,60","1,24M","1,58%"
"28.10.2024","40,55","41,00","41,18","40,55","1,13M","-1,00%"
"25.10.2024","40,96","40,78","41,18","40,62","1,34M","0,44%"
"24.10.2024","40,78","40,73","41,23","40,45","1,47M","0,17%"
"23.10.2024","40,71","40,13","40,74","39,87","1,92M","1,50%"
"22.10.2024","40,11","40,66","40,70","39,87","2,57M","-1,30%"
"21.10.2024","40,64","41,44","41,60","40,42","1,93M","-1,93%"
"18.10.2024","41,44","41,20","41,79","40,96","1,73M","1,89%"
"17.10.2024","40,67","41,30","41,49","40,60","1,99M","-1,62%"
"16.10.2024","41,34","41,60","41,66","40,91","2,66M","-0,60%"
"15.10.2024","41,59","41,41","41,68","41,12","1,47M","0,56%"
"14.10.2024","41,36","41,51","41,62","40,91","962,47K","-0,17%"
"11.10.2024","41,43","41,00","41,49","40,61","1,86M","1,00%"
"10.10.2024","41,02","42,25","42,50","40,55","3,60M","-2,12%"
"09.10.2024","41,91","41,40","42,34","41,08","1,95M","1,33%"
"08.10.2024","41,36","40,80","41,65","40,53","1,23M","0,61%"
"07.10.2024","41,11","41,70","41,77","40,77","1,17M","-1,01%"
"04.10.2024","41,53","41,71","41,96","41,18","1,11M","-0,34%"
"03.10.2024","41,67","42,50","42,58","41,67","2,06M","-1,65%"
"02.10.2024","42,37","42,10","42,59","41,76","1,21M","0,40%"
"01.10.2024","42,20","42,30","42,57","41,59","1,74M","0,29%"
"30.09.2024","42,08","43,38","43,38","42,07","2,14M","-3,11%"
"27.09.2024","43,43","42,79","43,56","42,35","1,66M","2,19%"
"26.09.2024","42,50","43,48","43,77","42,10","1,85M","-0,91%"
"25.09.2024","42,89","42,73","43,40","42,40","1,85M","0,44%"
"24.09.2024","42,70","41,90","43,05","41,72","1,79M","2,45%"
"23.09.2024","41,68","41,37","42,20","40,86","3,71M","0,36%"
"20.09.2024","41,53","42,00","42,19","41,35","5,53M","-0,95%"
"19.09.2024","41,93","41,44","42,56","41,44","2,81M","1,65%"
"18.09.2024","41,25","41,82","41,99","40,96","2,03M","-0,41%"
"17.09.2024","41,42","39,60","41,60","39,50","5,45M","5,80%"
"16.09.2024","39,15","41,80","41,85","39,15","8,05M","-15,99%"
"13.09.2024","46,60","46,01","46,92","45,97","2,81M","1,61%"
"12.09.2024","45,86","46,12","46,52","45,83","1,57M","0,79%"
"11.09.2024","45,50","46,27","46,31","45,42","1,36M","-1,52%"
"10.09.2024","46,20","47,01","47,24","46,04","100,00K","-1,45%"
"09.09.2024","46,88","47,00","47,29","46,46","1,03M","0,62%"
"06.09.2024","46,59","47,40","47,51","46,59","1,74M","-1,46%"
"05.09.2024","47,28","47,65","48,15","47,05","1,15M","-0,67%"
"04.09.2024","47,60","47,70","48,03","47,33","1,26M","-0,29%"
"03.09.2024","47,74","48,45","48,45","47,54","1,41M","-0,79%"
"02.09.2024","48,12","46,76","48,60","46,74","2,52M","3,17%"
"30.08.2024","46,64","47,50","47,58","46,55","4,80M","-1,46%"
"29.08.2024","47,33","48,29","48,33","46,80","3,12M","-2,87%"
"28.08.2024","48,73","48,21","49,10","48,21","864,68K","0,21%"
"27.08.2024","48,63","48,72","48,83","48,01","913,72K","0,31%"
