"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"28.03.2025","244,00","137,20","139,50","136,60","223,56K","-0,43%"
"27.03.2025","246,21","140,00","141,00","138,10","167,39K","0,22%"
"26.03.2025","250,34","136,10","139,40","135,60","187,58K","2,20%"
"25.03.2025","249,90","136,20","137,30","134,30","130,82K","-0,29%"
"24.03.2025","248,45","138,00","138,70","135,80","91,04K","-1,02%"
"21.03.2025","243,87","135,20","138,30","135,20","244,83K","2,07%"
"20.03.2025","243,32","135,20","137,00","134,20","112,81K","0,07%"
"19.03.2025","252,29","137,90","138,50","134,60","136,52K","-1,96%"
"18.03.2025","246,95","130,10","137,90","129,80","205,54K","5,11%"
"17.03.2025","252,97","129,20","131,20","129,20","81,68K","1,39%"
"14.03.2025","248,35","131,20","131,90","127,80","123,18K","-1,52%"
"13.03.2025","245,80","131,00","133,50","130,00","333,77K","0,92%"
"12.03.2025","249,63","125,90","131,20","125,00","332,67K","3,67%"
"11.03.2025","248,95","123,30","125,40","122,60","115,42K","2,03%"
"10.03.2025","256,90","119,60","123,60","118,60","131,81K","2,93%"
"07.03.2025","261,54","121,30","122,30","119,30","280,69K","-1,57%"
"06.03.2025","248,69","121,70","122,20","119,70","195,36K","0,25%"
"05.03.2025","251,35","119,00","121,00","117,60","483,18K","2,11%"
"04.03.2025","253,21","115,80","118,90","115,70","383,03K","2,51%"
"03.03.2025","250,19","116,00","118,20","114,10","345,98K","-2,28%"
"28.02.2025","252,44","107,90","119,70","101,60","639,31K","10,15%"
"27.02.2025","253,23","106,00","108,10","106,00","56,91K","1,03%"
"26.02.2025","255,84","106,70","107,90","105,70","35,31K","-0,09%"
"25.02.2025","257,75","104,60","106,40","104,00","107,91K","1,82%"
"24.02.2025","261,87","103,00","105,60","102,10","94,34K","0,48%"
"21.02.2025","261,48","100,70","104,00","100,60","178,66K","3,28%"
"20.02.2025","264,74","98,80","100,70","98,60","90,59K","1,92%"
"19.02.2025","264,32","98,05","98,90","97,65","47,71K","1,33%"
"18.02.2025","263,07","96,65","98,00","96,05","80,08K","0,88%"
"14.02.2025","261,28","95,75","97,50","95,70","59,37K","0,99%"
"13.02.2025","259,19","97,25","97,25","95,30","27,00K","-0,88%"
"12.02.2025","255,81","95,45","97,25","95,30","92,66K","1,10%"
"11.02.2025","254,70","95,00","95,55","94,20","54,19K","1,60%"
"10.02.2025","249,27","93,80","94,60","93,40","30,63K","0,53%"
"07.02.2025","252,34","93,90","94,20","92,75","44,11K","-0,37%"
"06.02.2025","253,44","93,75","94,15","93,15","25,05K","-0,05%"
"05.02.2025","263,30","94,00","95,40","93,50","44,43K","-0,63%"
